,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,0.589,0.04,0.513,0.663,0.001,0.001,1887.0,3802.0,1.0
mu_beta_dist,-2.799,0.091,-2.975,-2.633,0.002,0.001,1758.0,3774.0,1.0
mu_beta_time,4.098,0.103,3.899,4.285,0.003,0.001,1173.0,2756.0,1.0
"alpha[Alcántara, Kevin]",0.591,0.221,0.16,1.006,0.002,0.004,13068.0,3809.0,1.0
"alpha[Alexander, Blaze]",0.605,0.222,0.175,1.018,0.002,0.004,12321.0,4375.0,1.0
"alpha[Alexander, CJ]",0.572,0.219,0.15,0.993,0.002,0.005,11879.0,3756.0,1.0
"alpha[Allen, Greg]",0.592,0.227,0.154,1.026,0.002,0.005,11119.0,3887.0,1.0
"alpha[Altuve, Jose]",0.521,0.196,0.127,0.875,0.002,0.003,6626.0,3566.0,1.0
"alpha[Alvarez, Yordan]",0.503,0.214,0.088,0.903,0.004,0.005,4040.0,2377.0,1.0
"alpha[Andujar, Miguel]",0.469,0.181,0.131,0.815,0.003,0.003,3498.0,3307.0,1.0
"alpha[Anthony, Roman]",0.573,0.209,0.144,0.935,0.002,0.005,12245.0,2766.0,1.01
"alpha[Arozarena, Randy]",0.6,0.145,0.331,0.874,0.001,0.002,15608.0,5680.0,1.0
"alpha[Avans, Drew]",0.582,0.206,0.203,0.989,0.002,0.004,12194.0,4840.0,1.0
"alpha[Azocar, José]",0.564,0.225,0.139,0.997,0.002,0.005,12171.0,3224.0,1.0
"alpha[Baddoo, Akil]",0.64,0.213,0.229,1.04,0.002,0.004,9008.0,4023.0,1.0
"alpha[Bader, Harrison]",0.646,0.171,0.325,0.973,0.001,0.003,13007.0,4519.0,1.0
"alpha[Bae, Ji Hwan]",0.533,0.218,0.103,0.939,0.002,0.005,8771.0,3228.0,1.0
"alpha[Baldwin, Brooks]",0.499,0.187,0.144,0.848,0.003,0.003,5517.0,3330.0,1.0
"alpha[Barrosa, Jorge]",0.617,0.211,0.224,1.025,0.002,0.005,11561.0,3444.0,1.0
"alpha[Bauers, Jake]",0.546,0.206,0.16,0.941,0.002,0.004,10053.0,4547.0,1.0
"alpha[Beavers, Dylan]",0.522,0.198,0.13,0.889,0.002,0.003,7309.0,3930.0,1.0
"alpha[Beck, Jordan]",0.378,0.147,0.1,0.649,0.004,0.002,1175.0,3018.0,1.0
"alpha[Bellinger, Cody]",0.719,0.185,0.375,1.065,0.003,0.003,3605.0,4521.0,1.0
"alpha[Benintendi, Andrew]",0.516,0.167,0.199,0.833,0.002,0.003,6229.0,4440.0,1.0
"alpha[Benson, Will]",0.647,0.195,0.248,1.006,0.002,0.004,10111.0,3910.0,1.0
"alpha[Biggio, Cavan]",0.622,0.216,0.218,1.05,0.002,0.004,11291.0,4035.0,1.0
"alpha[Blanco, Dairon]",0.556,0.218,0.124,0.952,0.002,0.005,9759.0,3498.0,1.0
"alpha[Bleday, JJ]",0.488,0.21,0.066,0.865,0.004,0.004,2965.0,3118.0,1.0
"alpha[Bouchard, Sean]",0.59,0.223,0.167,1.012,0.002,0.005,12128.0,3740.0,1.0
"alpha[Brooks, Trenton]",0.585,0.22,0.158,1.001,0.002,0.005,12881.0,3312.0,1.0
"alpha[Brown, Seth]",0.574,0.21,0.168,0.967,0.002,0.004,11141.0,3484.0,1.0
"alpha[Bruján, Vidal]",0.597,0.218,0.159,0.998,0.002,0.005,13530.0,4090.0,1.0
"alpha[Burleson, Alec]",0.615,0.189,0.264,0.987,0.002,0.003,12266.0,3826.0,1.0
"alpha[Caballero, José]",0.49,0.219,0.046,0.888,0.004,0.005,4362.0,3316.0,1.0
"alpha[Caissie, Owen]",0.614,0.22,0.19,1.039,0.002,0.004,12294.0,4497.0,1.0
"alpha[Call, Alex]",0.805,0.188,0.467,1.162,0.006,0.003,1104.0,2758.0,1.0
"alpha[Callihan, Tyler]",0.557,0.225,0.136,0.998,0.002,0.005,12759.0,3216.0,1.0
"alpha[Cameron, Daz]",0.641,0.213,0.246,1.057,0.002,0.004,11263.0,3819.0,1.0
"alpha[Campbell, Kristian]",0.584,0.219,0.162,1.006,0.002,0.005,11112.0,4038.0,1.0
"alpha[Campero, Gustavo]",0.609,0.212,0.199,1.012,0.002,0.004,12649.0,3548.0,1.0
"alpha[Canario, Alexander]",0.62,0.2,0.229,0.994,0.002,0.003,12426.0,4568.0,1.0
"alpha[Canha, Mark]",0.482,0.216,0.063,0.877,0.004,0.004,3122.0,3493.0,1.0
