,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Caballero, José]",0.877,0.196,0.5,1.238,0.004,0.003,2334.0,3098.0,1.0
"alpha[Caglianone, Jac]",0.527,0.182,0.183,0.859,0.004,0.002,1739.0,4244.0,1.0
"alpha[Caissie, Owen]",0.698,0.21,0.293,1.091,0.002,0.004,11069.0,4250.0,1.0
"alpha[Call, Alex]",0.839,0.153,0.573,1.157,0.002,0.002,5122.0,4479.0,1.0
"alpha[Cameron, Daz]",0.666,0.217,0.228,1.05,0.002,0.004,10757.0,3667.0,1.0
"alpha[Campero, Gustavo]",0.694,0.203,0.315,1.079,0.002,0.004,12357.0,4806.0,1.0
"alpha[Canario, Alexander]",0.798,0.194,0.422,1.16,0.002,0.004,9150.0,3426.0,1.0
"alpha[Canha, Mark]",0.758,0.21,0.336,1.144,0.002,0.004,11168.0,4127.0,1.0
"alpha[Canzone, Dominic]",0.7,0.169,0.372,1.011,0.002,0.003,11196.0,5025.0,1.0
"alpha[Carlson, Dylan]",0.691,0.201,0.307,1.077,0.002,0.003,10951.0,4417.0,1.0
"alpha[Carpenter, Kerry]",0.825,0.177,0.501,1.171,0.002,0.002,5900.0,4675.0,1.0
"alpha[Carroll, Corbin]",0.867,0.143,0.601,1.135,0.003,0.002,3297.0,3744.0,1.0
"alpha[Castellanos, Nick]",0.586,0.151,0.291,0.857,0.002,0.002,3771.0,4825.0,1.0
"alpha[Castro, Willi]",0.685,0.175,0.35,1.016,0.002,0.003,9041.0,5409.0,1.0
"alpha[Chourio, Jackson]",0.756,0.199,0.359,1.121,0.002,0.003,11687.0,4898.0,1.0
"alpha[Church, Nathan]",0.745,0.213,0.364,1.167,0.002,0.004,12214.0,4860.0,1.0
"alpha[Clase, Jonatan]",0.725,0.215,0.305,1.127,0.002,0.004,11585.0,5221.0,1.0
