,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_dist[Caglianone, Jac]",-3.043,0.344,-3.696,-2.403,0.004,0.004,7171.0,5700.0,1.0
"beta_dist[Caissie, Owen]",-2.673,0.442,-3.48,-1.834,0.004,0.006,10863.0,4917.0,1.0
"beta_dist[Call, Alex]",-3.469,0.309,-4.034,-2.864,0.004,0.003,4921.0,6064.0,1.0
"beta_dist[Cameron, Daz]",-2.752,0.469,-3.599,-1.843,0.005,0.006,10388.0,4946.0,1.0
"beta_dist[Campero, Gustavo]",-2.594,0.422,-3.386,-1.79,0.004,0.006,11478.0,5368.0,1.0
"beta_dist[Canario, Alexander]",-2.961,0.388,-3.67,-2.226,0.004,0.005,9213.0,6188.0,1.0
"beta_dist[Canha, Mark]",-2.787,0.459,-3.663,-1.935,0.004,0.007,11717.0,5210.0,1.0
"beta_dist[Canzone, Dominic]",-2.597,0.324,-3.213,-1.989,0.003,0.004,10677.0,5902.0,1.0
"beta_dist[Carlson, Dylan]",-2.644,0.455,-3.487,-1.786,0.004,0.007,10325.0,5192.0,1.0
"beta_dist[Carpenter, Kerry]",-2.606,0.322,-3.223,-2.008,0.003,0.004,9485.0,5816.0,1.0
"beta_dist[Carroll, Corbin]",-3.04,0.258,-3.531,-2.561,0.003,0.003,7435.0,5874.0,1.0
"beta_dist[Castellanos, Nick]",-3.058,0.291,-3.601,-2.512,0.004,0.003,5404.0,5472.0,1.0
"beta_dist[Castro, Willi]",-2.824,0.354,-3.48,-2.144,0.003,0.005,10690.0,5205.0,1.0
"beta_dist[Chourio, Jackson]",-2.948,0.434,-3.802,-2.174,0.004,0.006,11556.0,5476.0,1.0
"beta_dist[Church, Nathan]",-2.698,0.468,-3.55,-1.785,0.004,0.007,10842.0,5496.0,1.0
"beta_dist[Clase, Jonatan]",-2.732,0.503,-3.724,-1.82,0.005,0.007,11326.0,5501.0,1.0
"beta_dist[Clemens, Kody]",-2.715,0.445,-3.513,-1.838,0.004,0.006,10676.0,5307.0,1.0
"beta_dist[Cole, Zach]",-2.681,0.469,-3.602,-1.839,0.004,0.006,11621.0,5346.0,1.0
"beta_dist[Collins, Isaac]",-2.889,0.477,-3.747,-1.971,0.004,0.006,11606.0,5713.0,1.0
"beta_dist[Conine, Griffin]",-2.672,0.457,-3.497,-1.761,0.004,0.006,11934.0,5187.0,1.0
"beta_dist[Cortes, Carlos]",-2.714,0.442,-3.54,-1.864,0.004,0.006,12896.0,5430.0,1.0
"beta_dist[Cowser, Colton]",-2.726,0.507,-3.661,-1.758,0.004,0.007,13407.0,5680.0,1.0
"beta_dist[Crews, Dylan]",-2.971,0.302,-3.538,-2.426,0.003,0.003,7855.0,6346.0,1.0
"beta_dist[Dezenzo, Zach]",-3.04,0.438,-3.858,-2.224,0.005,0.006,7881.0,5341.0,1.0
"beta_dist[Dubón, Mauricio]",-2.541,0.481,-3.42,-1.596,0.004,0.007,12420.0,5513.0,1.0
"beta_dist[Dunn, Blake]",-2.898,0.439,-3.714,-2.062,0.004,0.006,9789.0,5343.0,1.0
"beta_dist[Duran, Ezequiel]",-2.831,0.473,-3.74,-1.953,0.005,0.006,11047.0,5618.0,1.0
"beta_dist[Duran, Jarren]",-2.789,0.489,-3.69,-1.857,0.005,0.006,11640.0,5415.0,1.0
"beta_dist[Eaton, Nate]",-2.773,0.464,-3.656,-1.905,0.004,0.006,12834.0,6075.0,1.0
"beta_dist[Encarnacion, Jerar]",-2.857,0.442,-3.727,-2.064,0.004,0.006,9824.0,4716.0,1.0
"beta_dist[Espinal, Santiago]",-2.641,0.495,-3.55,-1.682,0.005,0.007,12013.0,5515.0,1.0
"beta_dist[Fairchild, Stuart]",-2.941,0.448,-3.83,-2.145,0.005,0.006,9358.0,4882.0,1.0
"beta_dist[Fermín, José]",-2.734,0.5,-3.668,-1.79,0.005,0.007,11448.0,5122.0,1.0
"beta_dist[Fernández, Yanquiel]",-3.025,0.401,-3.762,-2.279,0.005,0.005,7205.0,5693.0,1.0
"beta_dist[Fitzgerald, Tyler]",-2.652,0.493,-3.609,-1.746,0.004,0.007,13154.0,5858.0,1.0
"beta_dist[Fletcher, Dominic]",-2.606,0.475,-3.468,-1.677,0.004,0.007,12211.0,5562.0,1.0
"beta_dist[Fraley, Jake]",-2.893,0.297,-3.458,-2.331,0.003,0.003,9380.0,6104.0,1.0
"beta_dist[Frazier, Adam]",-2.957,0.438,-3.786,-2.14,0.004,0.006,9935.0,5578.0,1.0
"beta_dist[Freeman, Cody]",-2.797,0.484,-3.765,-1.941,0.004,0.006,12355.0,5322.0,1.0
"beta_dist[Freeman, Tyler]",-1.886,0.296,-2.444,-1.33,0.004,0.003,6070.0,6008.0,1.0
"beta_dist[Frelick, Sal]",-3.017,0.29,-3.574,-2.484,0.003,0.004,9970.0,6055.0,1.0
"beta_dist[Garcia, Jhostynxon]",-2.749,0.504,-3.723,-1.838,0.005,0.008,11325.0,5380.0,1.0
"beta_dist[Garcia, Maikel]",-2.78,0.484,-3.654,-1.819,0.005,0.007,10364.0,4578.0,1.0
"beta_dist[García, Adolis]",-2.888,0.261,-3.382,-2.411,0.003,0.003,7824.0,5615.0,1.0
"beta_dist[Gilbert, Drew]",-2.644,0.371,-3.362,-1.97,0.003,0.005,12008.0,5477.0,1.0
"beta_dist[Gonzalez, Oscar]",-2.755,0.495,-3.699,-1.831,0.004,0.007,13275.0,5319.0,1.0
"beta_dist[Greene, Riley]",-2.551,0.477,-3.404,-1.605,0.004,0.006,12414.0,5446.0,1.0
"beta_dist[Grichuk, Randal]",-2.797,0.352,-3.436,-2.116,0.004,0.004,8872.0,6005.0,1.0
"beta_dist[Haggerty, Sam]",-2.75,0.497,-3.709,-1.863,0.005,0.007,11432.0,4571.0,1.0
"beta_dist[Hampson, Garrett]",-2.819,0.481,-3.713,-1.904,0.004,0.006,11664.0,5404.0,1.0
"beta_dist[Harris, Dustin]",-2.803,0.479,-3.715,-1.901,0.005,0.007,9678.0,4708.0,1.0
"beta_dist[Hassell III, Robert]",-2.797,0.44,-3.608,-1.965,0.004,0.006,11729.0,5379.0,1.0
"beta_dist[Hernández, Heriberto]",-2.653,0.413,-3.435,-1.886,0.004,0.005,10782.0,5383.0,1.0
"beta_dist[Hernández, Teoscar]",-2.619,0.252,-3.081,-2.137,0.003,0.003,7933.0,5601.0,1.0
"beta_dist[Heyward, Jason]",-2.532,0.472,-3.411,-1.664,0.004,0.006,11731.0,5335.0,1.0
"beta_dist[Hilliard, Sam]",-2.737,0.5,-3.68,-1.781,0.005,0.007,12004.0,5052.0,1.0
"beta_dist[Hinds, Rece]",-2.504,0.386,-3.23,-1.791,0.004,0.005,9531.0,5942.0,1.0
"beta_dist[Jackson, Jeremiah]",-2.668,0.366,-3.34,-1.972,0.004,0.004,9993.0,6223.0,1.0
"beta_dist[Jankowski, Travis]",-1.785,0.417,-2.546,-0.978,0.006,0.005,4925.0,4966.0,1.0
"beta_dist[Joe, Connor]",-2.78,0.444,-3.641,-1.985,0.004,0.006,10879.0,5892.0,1.0
"beta_dist[Johnson, Bryce]",-2.685,0.482,-3.58,-1.77,0.005,0.006,11203.0,5087.0,1.0
"beta_dist[Johnson, Daniel]",-2.968,0.439,-3.802,-2.164,0.004,0.006,10723.0,5356.0,1.0
"beta_dist[Johnston, Troy]",-2.745,0.461,-3.655,-1.896,0.004,0.006,11335.0,5395.0,1.0
"beta_dist[Jones, Jahmai]",-2.699,0.439,-3.57,-1.912,0.004,0.006,12123.0,5465.0,1.0
"beta_dist[Jones, Nolan]",-2.905,0.318,-3.514,-2.327,0.003,0.004,8546.0,5906.0,1.0
"beta_dist[Judge, Aaron]",-3.147,0.311,-3.722,-2.552,0.005,0.004,4004.0,5379.0,1.0
"beta_dist[Kayfus, C.J.]",-2.718,0.397,-3.463,-1.969,0.004,0.005,10718.0,5763.0,1.0
"beta_dist[Keirsey Jr., DaShawn]",-2.669,0.443,-3.502,-1.837,0.004,0.006,12225.0,5642.0,1.0
"beta_dist[Kelenic, Jarred]",-2.603,0.46,-3.458,-1.729,0.004,0.006,11461.0,5495.0,1.0
"beta_dist[Kepler, Max]",-2.483,0.41,-3.226,-1.681,0.004,0.005,10857.0,5583.0,1.0
"beta_dist[Kjerstad, Heston]",-2.752,0.42,-3.499,-1.927,0.004,0.005,11232.0,5353.0,1.0
"beta_dist[Larnach, Trevor]",-2.681,0.381,-3.392,-1.954,0.004,0.005,10738.0,5945.0,1.0
"beta_dist[Laureano, Ramón]",-2.743,0.307,-3.323,-2.186,0.003,0.004,11745.0,6184.0,1.0
"beta_dist[Lile, Daylen]",-2.914,0.326,-3.502,-2.282,0.003,0.004,9525.0,5663.0,1.0
"beta_dist[Lockridge, Brandon]",-2.847,0.413,-3.636,-2.102,0.004,0.005,8811.0,5301.0,1.0
"beta_dist[Loperfido, Joey]",-2.96,0.48,-3.883,-2.065,0.005,0.006,9632.0,5726.0,1.0
"beta_dist[Lowe, Josh]",-3.007,0.314,-3.594,-2.406,0.004,0.004,6129.0,5251.0,1.0
"beta_dist[Lugo, Matthew]",-3.023,0.503,-4.013,-2.131,0.005,0.007,9424.0,4711.0,1.0
"beta_dist[Lukes, Nathan]",-2.649,0.312,-3.233,-2.063,0.003,0.003,8829.0,6166.0,1.0
"beta_dist[Malloy, Justyn-Henry]",-2.562,0.437,-3.373,-1.709,0.004,0.006,10352.0,5137.0,1.0
"beta_dist[Mangum, Jake]",-2.948,0.384,-3.645,-2.2,0.004,0.005,9771.0,6138.0,1.0
"beta_dist[Margot, Manuel]",-2.795,0.478,-3.692,-1.891,0.005,0.007,11004.0,5049.0,1.0
"beta_dist[Marsee, Jakob]",-2.764,0.463,-3.632,-1.882,0.004,0.006,12138.0,5280.0,1.0
"beta_dist[Marsh, Brandon]",-2.835,0.483,-3.758,-1.954,0.005,0.006,9694.0,5351.0,1.0
"beta_dist[Marte, Noelvi]",-2.55,0.349,-3.201,-1.901,0.003,0.004,11171.0,5894.0,1.0
"beta_dist[Marte, Starling]",-2.731,0.499,-3.678,-1.815,0.005,0.007,11654.0,4904.0,1.0
"beta_dist[Martini, Nick]",-2.346,0.418,-3.089,-1.513,0.004,0.005,8996.0,4902.0,1.0
"beta_dist[Martínez, Angel]",-2.594,0.481,-3.509,-1.709,0.004,0.007,11987.0,5164.0,1.0
"beta_dist[Mastrobuoni, Miles]",-2.857,0.465,-3.723,-1.959,0.004,0.006,11537.0,5494.0,1.0
"beta_dist[Matos, Luis]",-2.629,0.373,-3.337,-1.919,0.003,0.004,11687.0,6603.0,1.0
"beta_dist[McCarthy, Jake]",-2.958,0.427,-3.786,-2.178,0.005,0.005,8956.0,5662.0,1.0
"beta_dist[McCormick, Chas]",-2.736,0.47,-3.614,-1.867,0.004,0.007,11592.0,5491.0,1.0
"beta_dist[McCray, Grant]",-2.484,0.474,-3.377,-1.61,0.004,0.006,11111.0,5623.0,1.0
"beta_dist[McCusker, Carson]",-2.71,0.483,-3.603,-1.791,0.005,0.006,11447.0,5487.0,1.0
"beta_dist[McCutchen, Andrew]",-2.851,0.475,-3.761,-1.979,0.005,0.006,10940.0,5230.0,1.0
"beta_dist[McKinney, Billy]",-2.633,0.478,-3.515,-1.708,0.004,0.007,12750.0,4857.0,1.0
"beta_dist[McKinstry, Zach]",-2.697,0.429,-3.525,-1.916,0.004,0.006,9452.0,5457.0,1.0
"beta_dist[McNeil, Jeff]",-2.862,0.498,-3.809,-1.929,0.005,0.007,11798.0,5071.0,1.0
"beta_dist[Melendez, MJ]",-2.778,0.484,-3.675,-1.867,0.004,0.007,13052.0,5232.0,1.0
"beta_dist[Melton, Jacob]",-2.658,0.477,-3.548,-1.765,0.004,0.006,11718.0,5467.0,1.0
"beta_dist[Mesa Jr., Victor]",-2.838,0.486,-3.769,-1.91,0.005,0.007,10980.0,4789.0,1.0
"beta_dist[Misner, Kameron]",-2.744,0.44,-3.575,-1.924,0.004,0.006,9903.0,5827.0,1.0
"beta_dist[Moniak, Mickey]",-2.664,0.313,-3.279,-2.104,0.004,0.004,5416.0,5444.0,1.0
"beta_dist[Moore, Dylan]",-3.164,0.396,-3.91,-2.431,0.005,0.005,5319.0,5613.0,1.0
"beta_dist[Morel, Christopher]",-2.859,0.481,-3.72,-1.917,0.005,0.007,8386.0,4548.0,1.0
"beta_dist[Myers, Dane]",-2.398,0.417,-3.166,-1.604,0.004,0.005,11611.0,5967.0,1.0
"beta_dist[Noda, Ryan]",-2.83,0.454,-3.699,-1.975,0.004,0.006,10234.0,5492.0,1.0
"beta_dist[Noel, Jhonkensy]",-2.561,0.359,-3.211,-1.88,0.004,0.004,10115.0,6116.0,1.0
"beta_dist[Nootbaar, Lars]",-3.025,0.405,-3.758,-2.243,0.004,0.005,8720.0,5842.0,1.0
"beta_dist[O'Hearn, Ryan]",-2.625,0.363,-3.314,-1.951,0.004,0.004,7374.0,6126.0,1.0
"beta_dist[O'Neill, Tyler]",-2.665,0.349,-3.311,-1.998,0.004,0.004,9263.0,5176.0,1.0
"beta_dist[Osuna, Alejandro]",-2.69,0.463,-3.586,-1.841,0.004,0.006,12523.0,5261.0,1.0
"beta_dist[Outman, James]",-2.633,0.413,-3.401,-1.851,0.004,0.005,12399.0,5577.0,1.0
"beta_dist[Pages, Andy]",-2.967,0.404,-3.738,-2.229,0.004,0.005,10385.0,5325.0,1.0
"beta_dist[Palacios, Joshua]",-3.074,0.39,-3.794,-2.34,0.005,0.005,7025.0,5773.0,1.0
"beta_dist[Palacios, Richie]",-2.467,0.463,-3.355,-1.603,0.005,0.006,10439.0,5312.0,1.0
"beta_dist[Pederson, Joc]",-2.713,0.492,-3.691,-1.817,0.005,0.007,11748.0,5823.0,1.0
"beta_dist[Pereira, Everson]",-2.73,0.503,-3.704,-1.783,0.004,0.008,12766.0,4878.0,1.0
"beta_dist[Pham, Tommy]",-2.479,0.497,-3.424,-1.541,0.005,0.007,11634.0,5100.0,1.0
"beta_dist[Pillar, Kevin]",-2.767,0.498,-3.703,-1.85,0.005,0.006,11555.0,5746.0,1.0
"beta_dist[Pérez, Wenceel]",-2.821,0.31,-3.396,-2.246,0.003,0.004,8273.0,5445.0,1.0
"beta_dist[Raley, Luke]",-2.653,0.391,-3.38,-1.909,0.004,0.005,11429.0,5725.0,1.0
"beta_dist[Rave, John]",-2.686,0.365,-3.401,-2.049,0.004,0.004,10464.0,6424.0,1.0
"beta_dist[Refsnyder, Rob]",-2.858,0.379,-3.583,-2.163,0.004,0.005,9492.0,4919.0,1.0
"beta_dist[Renfroe, Hunter]",-2.39,0.375,-3.07,-1.647,0.004,0.005,8138.0,5674.0,1.0
"beta_dist[Rengifo, Luis]",-2.628,0.485,-3.508,-1.714,0.005,0.006,11063.0,5505.0,1.0
"beta_dist[Reyes, Pablo]",-2.934,0.46,-3.821,-2.105,0.005,0.007,9269.0,4601.0,1.0
"beta_dist[Reynolds, Bryan]",-2.957,0.292,-3.51,-2.42,0.003,0.004,7751.0,5551.0,1.0
"beta_dist[Rivas, Leo]",-2.727,0.494,-3.681,-1.8,0.004,0.007,12995.0,5373.0,1.0
"beta_dist[Robertson, Will]",-2.929,0.43,-3.686,-2.071,0.005,0.006,8843.0,5428.0,1.0
"beta_dist[Robles, Victor]",-2.779,0.386,-3.511,-2.052,0.004,0.005,9631.0,5796.0,1.0
"beta_dist[Roden, Alan]",-2.373,0.405,-3.139,-1.616,0.004,0.005,9123.0,5999.0,1.0
"beta_dist[Rodríguez, Johnathan]",-2.656,0.373,-3.362,-1.965,0.004,0.004,10304.0,5847.0,1.0
"beta_dist[Rooker, Brent]",-3.046,0.413,-3.837,-2.286,0.004,0.005,9794.0,5408.0,1.0
"beta_dist[Rosario, Amed]",-2.682,0.508,-3.69,-1.758,0.005,0.007,11898.0,5046.0,1.0
"beta_dist[Rosario, Eddie]",-2.757,0.494,-3.713,-1.855,0.005,0.007,10765.0,4377.0,1.0
"beta_dist[Ruiz, Esteury]",-2.479,0.474,-3.362,-1.55,0.004,0.007,12212.0,4884.0,1.0
"beta_dist[Santander, Anthony]",-2.774,0.431,-3.597,-1.995,0.004,0.005,10235.0,5310.0,1.0
"beta_dist[Schneemann, Daniel]",-2.863,0.477,-3.728,-1.931,0.004,0.007,12063.0,4936.0,1.0
"beta_dist[Scott II, Victor]",-2.825,0.484,-3.733,-1.905,0.005,0.007,10919.0,5213.0,1.0
"beta_dist[Simon, Ronny]",-2.651,0.478,-3.557,-1.777,0.004,0.007,11929.0,5349.0,1.0
"beta_dist[Simpson, Chandler]",-2.733,0.509,-3.734,-1.834,0.005,0.007,12508.0,5110.0,1.0
"beta_dist[Slater, Austin]",-2.705,0.357,-3.375,-2.043,0.004,0.004,9060.0,5632.0,1.0
"beta_dist[Smith, Cam]",-2.8,0.261,-3.294,-2.31,0.003,0.003,9902.0,5885.0,1.0
"beta_dist[Smith, Josh]",-2.767,0.472,-3.687,-1.912,0.004,0.007,11618.0,5831.0,1.0
"beta_dist[Sogard, Nick]",-2.702,0.499,-3.643,-1.747,0.005,0.007,11789.0,5138.0,1.0
"beta_dist[Soler, Jorge]",-2.54,0.365,-3.248,-1.88,0.004,0.004,10128.0,6334.0,1.0
"beta_dist[Soto, Juan]",-3.166,0.285,-3.726,-2.653,0.003,0.003,6763.0,5381.0,1.0
"beta_dist[Springer, George]",-2.662,0.382,-3.359,-1.934,0.004,0.005,11109.0,5867.0,1.0
"beta_dist[Stanton, Giancarlo]",-2.573,0.426,-3.378,-1.782,0.004,0.006,12546.0,5952.0,1.0
"beta_dist[Stowers, Kyle]",-2.779,0.387,-3.529,-2.083,0.004,0.005,10302.0,5627.0,1.0
"beta_dist[Straw, Myles]",-2.762,0.471,-3.645,-1.883,0.004,0.007,14884.0,5317.0,1.0
"beta_dist[Suwinski, Jack]",-2.67,0.436,-3.498,-1.852,0.004,0.006,11535.0,5041.0,1.0
"beta_dist[Suzuki, Seiya]",-2.838,0.38,-3.542,-2.119,0.004,0.005,8950.0,5237.0,1.0
"beta_dist[Sánchez, Jesús]",-2.805,0.249,-3.28,-2.354,0.003,0.003,9481.0,6185.0,1.0
"beta_dist[Tatis Jr., Fernando]",-2.836,0.255,-3.32,-2.362,0.003,0.003,8244.0,5479.0,1.0
"beta_dist[Tauchman, Mike]",-2.789,0.327,-3.398,-2.186,0.004,0.004,7743.0,6032.0,1.0
"beta_dist[Taveras, Leody]",-2.67,0.396,-3.392,-1.903,0.004,0.005,11660.0,5686.0,1.0
"beta_dist[Tawa, Tim]",-2.749,0.49,-3.652,-1.83,0.005,0.006,10931.0,5305.0,1.0
"beta_dist[Taylor, Chris]",-2.941,0.461,-3.809,-2.078,0.004,0.007,10652.0,5083.0,1.0
"beta_dist[Taylor, Michael A.]",-2.572,0.381,-3.283,-1.859,0.004,0.004,10086.0,6082.0,1.0
"beta_dist[Taylor, Samad]",-2.745,0.501,-3.664,-1.787,0.004,0.007,13022.0,5551.0,1.0
"beta_dist[Taylor, Tyrone]",-2.734,0.506,-3.699,-1.794,0.005,0.007,11248.0,4818.0,1.0
"beta_dist[Thomas, Colby]",-2.7,0.425,-3.474,-1.865,0.004,0.006,11332.0,5291.0,1.0
"beta_dist[Thomas, Lane]",-2.725,0.508,-3.676,-1.744,0.005,0.007,11960.0,5126.0,1.0
"beta_dist[Thomas, Rhylan]",-2.808,0.479,-3.726,-1.945,0.004,0.006,11497.0,5453.0,1.0
"beta_dist[Tolbert, Tyler]",-2.816,0.479,-3.685,-1.88,0.005,0.007,11265.0,5510.0,1.0
"beta_dist[Trammell, Taylor]",-2.751,0.506,-3.69,-1.814,0.004,0.007,13500.0,5574.0,1.0
"beta_dist[Trout, Mike]",-2.903,0.425,-3.701,-2.107,0.004,0.005,9858.0,5764.0,1.0
"beta_dist[Tucker, Kyle]",-3.063,0.28,-3.6,-2.555,0.004,0.003,6392.0,5678.0,1.0
"beta_dist[Valera, George]",-2.747,0.47,-3.638,-1.868,0.004,0.006,12036.0,5097.0,1.0
"beta_dist[Veen, Zac]",-2.65,0.489,-3.543,-1.715,0.004,0.007,13616.0,5787.0,1.0
"beta_dist[Vierling, Matt]",-2.662,0.47,-3.55,-1.758,0.004,0.006,12067.0,5320.0,1.0
"beta_dist[Vilade, Ryan]",-2.604,0.476,-3.476,-1.691,0.004,0.007,11553.0,5402.0,1.0
"beta_dist[Wade, Tyler]",-2.616,0.482,-3.524,-1.708,0.004,0.007,13828.0,5192.0,1.0
"beta_dist[Wade Jr., LaMonte]",-2.627,0.41,-3.384,-1.828,0.004,0.005,10646.0,6244.0,1.0
"beta_dist[Wagaman, Eric]",-2.741,0.49,-3.675,-1.823,0.005,0.007,10571.0,5353.0,1.0
"beta_dist[Walker, Jordan]",-2.327,0.267,-2.816,-1.809,0.004,0.003,5835.0,5757.0,1.0
"beta_dist[Wallner, Matt]",-2.768,0.313,-3.378,-2.208,0.005,0.004,4624.0,5394.0,1.0
"beta_dist[Waters, Drew]",-2.667,0.423,-3.432,-1.845,0.004,0.005,10267.0,6098.0,1.0
"beta_dist[White, Eli]",-2.744,0.352,-3.418,-2.1,0.003,0.004,10440.0,6029.0,1.0
"beta_dist[Wiemer, Joey]",-2.833,0.416,-3.61,-2.052,0.004,0.006,12079.0,5202.0,1.0
"beta_dist[Yastrzemski, Mike]",-2.917,0.216,-3.339,-2.533,0.003,0.002,6872.0,5270.0,1.0
"beta_dist[Yorke, Nick]",-2.604,0.477,-3.527,-1.7,0.004,0.007,11357.0,5094.0,1.0
"beta_dist[Yoshida, Masataka]",-2.734,0.49,-3.645,-1.811,0.005,0.007,11173.0,5174.0,1.0
"beta_time[Abreu, Wilyer]",3.76,0.319,3.142,4.347,0.004,0.004,8118.0,5851.0,1.0
"beta_time[Acuña Jr., Ronald]",3.333,0.31,2.759,3.92,0.008,0.003,1687.0,5003.0,1.01
"beta_time[Adell, Jo]",3.658,0.338,2.986,4.267,0.004,0.004,6333.0,5295.0,1.0
"beta_time[Alcántara, Kevin]",3.92,0.46,3.027,4.787,0.005,0.008,8504.0,4460.0,1.0
"beta_time[Alexander, CJ]",3.821,0.46,2.98,4.739,0.005,0.008,9187.0,4654.0,1.0
"beta_time[Andujar, Miguel]",4.052,0.433,3.297,4.927,0.006,0.006,6194.0,5207.0,1.0
"beta_time[Anthony, Roman]",4.047,0.402,3.297,4.815,0.005,0.006,6648.0,4865.0,1.0
"beta_time[Azocar, José]",3.957,0.446,3.087,4.782,0.006,0.008,6111.0,4000.0,1.0
"beta_time[Baddoo, Akil]",3.792,0.446,2.915,4.618,0.004,0.007,10031.0,4585.0,1.0
"beta_time[Bader, Harrison]",3.966,0.451,3.111,4.805,0.005,0.008,6819.0,4104.0,1.0
"beta_time[Bae, Ji Hwan]",3.942,0.458,3.121,4.842,0.005,0.008,8651.0,4565.0,1.0
"beta_time[Baldwin, Brooks]",3.561,0.424,2.723,4.31,0.007,0.006,3648.0,4847.0,1.0
"beta_time[Barger, Addison]",3.321,0.351,2.7,4.01,0.009,0.004,1586.0,4523.0,1.0
"beta_time[Barrosa, Jorge]",3.899,0.449,3.058,4.767,0.005,0.007,8049.0,4919.0,1.0
"beta_time[Bauers, Jake]",3.865,0.448,2.995,4.701,0.005,0.007,7811.0,4558.0,1.0
"beta_time[Beavers, Dylan]",3.832,0.437,3.052,4.689,0.005,0.007,9420.0,4061.0,1.0
"beta_time[Bellinger, Cody]",3.69,0.353,3.023,4.355,0.004,0.004,6667.0,5651.0,1.0
"beta_time[Benson, Will]",3.615,0.368,2.911,4.287,0.004,0.005,7008.0,5457.0,1.0
"beta_time[Biggio, Cavan]",3.95,0.445,3.102,4.805,0.005,0.008,7427.0,4377.0,1.0
"beta_time[Black, Tyler]",3.902,0.471,3.002,4.786,0.005,0.008,8438.0,4872.0,1.0
"beta_time[Bleday, JJ]",3.72,0.414,2.928,4.505,0.005,0.006,5966.0,4481.0,1.0
"beta_time[Bouchard, Sean]",3.885,0.439,3.052,4.736,0.005,0.008,8879.0,4577.0,1.0
"beta_time[Brennan, Will]",3.757,0.455,2.891,4.624,0.005,0.007,9123.0,4811.0,1.0
"beta_time[Brown, Seth]",3.911,0.446,3.016,4.707,0.005,0.007,8912.0,4666.0,1.0
"beta_time[Bruján, Vidal]",3.794,0.423,2.962,4.566,0.005,0.006,8149.0,4321.0,1.0
"beta_time[Burleson, Alec]",4.178,0.402,3.437,4.943,0.007,0.006,3551.0,4371.0,1.0
"beta_time[Butler, Lawrence]",3.793,0.313,3.194,4.369,0.003,0.004,8748.0,5588.0,1.0
"beta_time[Caballero, José]",3.018,0.431,2.188,3.789,0.014,0.005,975.0,2427.0,1.0
"beta_time[Caglianone, Jac]",3.808,0.347,3.167,4.476,0.004,0.004,8368.0,6008.0,1.0
"beta_time[Caissie, Owen]",3.977,0.43,3.179,4.798,0.005,0.007,7785.0,4840.0,1.0
"beta_time[Call, Alex]",3.387,0.313,2.764,3.946,0.006,0.003,2544.0,5936.0,1.0
"beta_time[Cameron, Daz]",4.014,0.441,3.15,4.837,0.005,0.007,6741.0,3783.0,1.0
"beta_time[Campero, Gustavo]",3.899,0.404,3.168,4.686,0.004,0.006,8663.0,5547.0,1.0
"beta_time[Canario, Alexander]",3.838,0.39,3.085,4.548,0.004,0.006,8663.0,4967.0,1.0
"beta_time[Canha, Mark]",3.953,0.446,3.083,4.775,0.005,0.008,7868.0,3604.0,1.0
"beta_time[Canzone, Dominic]",3.893,0.35,3.237,4.57,0.004,0.005,8459.0,5286.0,1.0
"beta_time[Carlson, Dylan]",3.897,0.421,3.098,4.689,0.004,0.007,10137.0,4184.0,1.0
"beta_time[Carpenter, Kerry]",3.67,0.351,3.009,4.309,0.004,0.004,7384.0,6157.0,1.0
"beta_time[Carroll, Corbin]",4.019,0.293,3.487,4.577,0.004,0.003,5347.0,5740.0,1.0
"beta_time[Castellanos, Nick]",4.199,0.314,3.637,4.813,0.005,0.004,3591.0,4271.0,1.0
"beta_time[Castro, Willi]",4.083,0.366,3.391,4.784,0.005,0.005,5302.0,4296.0,1.0
"beta_time[Chourio, Jackson]",3.783,0.408,3.021,4.554,0.004,0.006,9500.0,5080.0,1.0
"beta_time[Church, Nathan]",3.871,0.445,3.034,4.726,0.005,0.007,7013.0,4788.0,1.0
"beta_time[Clase, Jonatan]",3.909,0.458,3.022,4.773,0.005,0.008,8459.0,4416.0,1.0
"beta_time[Clemens, Kody]",3.999,0.42,3.195,4.789,0.005,0.006,6533.0,5024.0,1.0
"beta_time[Cole, Zach]",4.011,0.445,3.135,4.815,0.006,0.007,6546.0,3635.0,1.0
"beta_time[Collins, Isaac]",3.945,0.456,3.101,4.84,0.005,0.006,8209.0,4878.0,1.0
"beta_time[Conine, Griffin]",3.958,0.445,3.135,4.818,0.005,0.007,7840.0,4828.0,1.0
"beta_time[Cortes, Carlos]",4.124,0.451,3.329,5.028,0.007,0.007,4072.0,3484.0,1.0
"beta_time[Cowser, Colton]",3.906,0.454,3.079,4.802,0.005,0.007,8985.0,5277.0,1.0
"beta_time[Crews, Dylan]",4.07,0.339,3.443,4.722,0.005,0.004,4095.0,5696.0,1.0
"beta_time[Dezenzo, Zach]",3.561,0.406,2.8,4.329,0.007,0.005,4042.0,4093.0,1.0
"beta_time[Dubón, Mauricio]",3.969,0.452,3.136,4.861,0.005,0.008,7677.0,4664.0,1.0
"beta_time[Dunn, Blake]",3.957,0.44,3.153,4.825,0.005,0.007,6645.0,3934.0,1.0
"beta_time[Duran, Ezequiel]",3.887,0.475,3.003,4.807,0.006,0.009,6780.0,3276.0,1.0
"beta_time[Duran, Jarren]",3.876,0.461,3.019,4.767,0.005,0.008,9042.0,4751.0,1.0
