"name_fielder","fielder_id","fld_name_display_club","season","position","pa","avg_norm_start_distance","avg_norm_start_angle"
"Brown, Seth",664913,"Athletics",2025,"CF","226","320","1"
"Bleday, JJ",668709,"Athletics",2025,"CF","1968","321","0"
"Butler, Lawrence",671732,"Athletics",2025,"CF","1867","325","1"
"Clarke, Denzel",672016,"Athletics",2025,"CF","1651","320","0"
"Schuemann, Max",680474,"Athletics",2025,"CF","46","317","0"
"Avans, Drew",682183,"Athletics",2025,"CF","32","310","1"
"Thomas, Colby",687515,"Athletics",2025,"CF","413","321","0"
"White, Eli",642201,"Braves",2025,"CF","128","322","1"
"Fairchild, Stuart",656413,"Braves",2025,"CF","38","324","0"
"Harris II, Michael",671739,"Braves",2025,"CF","5918","321","0"
"Hampson, Garrett",641658,"D-backs",2025,"CF","58","319","0"
"McCarthy, Jake",664983,"D-backs",2025,"CF","450","325","0"
"Alexander, Blaze",677942,"D-backs",2025,"CF","85","313","0"
"Thomas, Alek",677950,"D-backs",2025,"CF","4634","316","0"
"Barrosa, Jorge",678489,"D-backs",2025,"CF","363","320","0"
"Carroll, Corbin",682998,"D-backs",2025,"CF","125","324","1"
"Tawa, Tim",694374,"D-backs",2025,"CF","442","324","0"
"Mateo, Jorge",622761,"Orioles",2025,"CF","338","326","0"
"Allen, Greg",656185,"Orioles",2025,"CF","142","326","1"
"Mullins, Cedric",656775,"Orioles",2025,"CF","3305","322","1"
"Laureano, Ramón",657656,"Orioles",2025,"CF","28","330","0"
"Bruján, Vidal",660644,"Orioles",2025,"CF","10","322","0"
"Carlson, Dylan",666185,"Orioles",2025,"CF","421","327","0"
"Johnson, Daniel",669288,"Orioles",2025,"CF","125","321","2"
"Adams, Jordyn",677941,"Orioles",2025,"CF","76","319","1"
"Cowser, Colton",681297,"Orioles",2025,"CF","1676","323","1"
"Rafaela, Ceddanne",678882,"Red Sox",2025,"CF","4952","321","2"
"Duran, Jarren",680776,"Red Sox",2025,"CF","800","323","2"
"Eaton, Nate",681987,"Red Sox",2025,"CF","124","325","0"
"Campbell, Kristian",692225,"Red Sox",2025,"CF","248","316","2"
"Castro, Willi",650489,"Cubs",2025,"CF","129","325","-1"
"Bruján, Vidal",660644,"Cubs",2025,"CF","39","324","1"
"Suzuki, Seiya",673548,"Cubs",2025,"CF","42","326","1"
"Alcántara, Kevin",682634,"Cubs",2025,"CF","93","331","-1"
"Crow-Armstrong, Pete",691718,"Cubs",2025,"CF","5591","322","0"
"Hampson, Garrett",641658,"Reds",2025,"CF","19","320","-1"
"Joe, Connor",656582,"Reds",2025,"CF","16","326","-1"
"Benson, Will",666181,"Reds",2025,"CF","370","319","1"
"Friedl, TJ",670770,"Reds",2025,"CF","5407","323","0"
"Marte, Noelvi",682622,"Reds",2025,"CF","40","324","1"
"Dunn, Blake",694362,"Reds",2025,"CF","162","322","0"
"Thomas, Lane",657041,"Guardians",2025,"CF","1234","319","2"
"Jones, Nolan",666134,"Guardians",2025,"CF","819","322","1"
"Schneemann, Daniel",682177,"Guardians",2025,"CF","583","330","2"
"Martínez, Angel",682657,"Guardians",2025,"CF","3340","320","2"
"Halpin, Petey",690984,"Guardians",2025,"CF","48","322","0"
"Hilliard, Sam",656541,"Rockies",2025,"CF","196","322","-1"
"Moniak, Mickey",666160,"Rockies",2025,"CF","1246","325","0"
"Doyle, Brenton",686668,"Rockies",2025,"CF","4887","324","-1"
"Beck, Jordan",687597,"Rockies",2025,"CF","18","329","0"
"Taylor, Michael A.",572191,"White Sox",2025,"CF","1367","320","1"
"Slater, Austin",596103,"White Sox",2025,"CF","11","329","1"
"Jankowski, Travis",608671,"White Sox",2025,"CF","49","325","1"
"Hill, Derek",656537,"White Sox",2025,"CF","89","322","2"
"Fletcher, Dominic",666150,"White Sox",2025,"CF","86","317","0"
"Robert Jr., Luis",673357,"White Sox",2025,"CF","3730","316","1"
"Baldwin, Brooks",681460,"White Sox",2025,"CF","751","326","1"
"Báez, Javier",595879,"Tigers",2025,"CF","1621","324","-1"
"Vierling, Matt",663837,"Tigers",2025,"CF","613","321","-1"
"Kreidler, Ryan",668952,"Tigers",2025,"CF","478","323","-1"
"Pérez, Wenceel",672761,"Tigers",2025,"CF","787","324","-1"
"Hicklen, Brewer",676551,"Tigers",2025,"CF","33","317","0"
"Meadows, Parker",678009,"Tigers",2025,"CF","2007","323","-1"
"Greene, Riley",682985,"Tigers",2025,"CF","476","321","0"
"Dubón, Mauricio",643289,"Astros",2025,"CF","367","326","0"
"Trammell, Taylor",666211,"Astros",2025,"CF","679","330","-1"
"Meyers, Jake",676694,"Astros",2025,"CF","3492","322","0"
"McCormick, Chas",676801,"Astros",2025,"CF","757","324","-1"
"Corona, Kenedy",685744,"Astros",2025,"CF","51","324","-2"
"Melton, Jacob",689200,"Astros",2025,"CF","578","326","0"
"Cole, Zach",805904,"Astros",2025,"CF","104","326","0"
"Yastrzemski, Mike",573262,"Royals",2025,"CF","156","323","0"
"Isbel, Kyle",664728,"Royals",2025,"CF","4307","319","0"
"Rave, John",670231,"Royals",2025,"CF","301","325","-1"
"Waters, Drew",671221,"Royals",2025,"CF","603","318","0"
"Garcia, Maikel",672580,"Royals",2025,"CF","127","317","0"
"Blanco, Dairon",680118,"Royals",2025,"CF","62","320","-1"
"Tolbert, Tyler",686475,"Royals",2025,"CF","420","318","-1"
"Taylor, Chris",621035,"Angels",2025,"CF","137","321","1"
"Kingery, Scott",664068,"Angels",2025,"CF","38","326","0"
"Adell, Jo",666176,"Angels",2025,"CF","3117","324","0"
"Teodosio, Bryce",669326,"Angels",2025,"CF","1781","324","0"
"Campero, Gustavo",672569,"Angels",2025,"CF","16","330","-1"
"Paris, Kyren",677347,"Angels",2025,"CF","799","319","0"
"Lugo, Matthew",683090,"Angels",2025,"CF","315","323","0"
"Hernández, Enrique",571771,"Dodgers",2025,"CF","157","320","-1"
"Taylor, Chris",621035,"Dodgers",2025,"CF","158","317","-1"
"Edman, Tommy",669242,"Dodgers",2025,"CF","757","316","0"
"Outman, James",681546,"Dodgers",2025,"CF","465","319","-1"
"Pages, Andy",681624,"Dodgers",2025,"CF","4023","318","-1"
"Dean, Justin",681909,"Dodgers",2025,"CF","104","315","1"
"Kim, Hyeseong",808975,"Dodgers",2025,"CF","375","318","-1"
"Hill, Derek",656537,"Marlins",2025,"CF","1341","321","2"
"Sánchez, Jesús",660821,"Marlins",2025,"CF","301","322","2"
"Myers, Dane",667472,"Marlins",2025,"CF","2192","320","1"
"Stowers, Kyle",669065,"Marlins",2025,"CF","235","325","0"
"Mesa Jr., Victor",683748,"Marlins",2025,"CF","101","321","0"
"Sanoja, Javier",691594,"Marlins",2025,"CF","316","317","2"
"Marsee, Jakob",805300,"Marlins",2025,"CF","1673","332","1"
"Perkins, Blake",663368,"Brewers",2025,"CF","1551","328","0"
"Lockridge, Brandon",663604,"Brewers",2025,"CF","198","332","0"
"Mitchell, Garrett",669003,"Brewers",2025,"CF","781","330","0"
